"";"Titulos";"Calificaciones";"Links";"Reviews"
"1";"It Happened One Night (1934)";" 99%";"https://www.rottentomatoes.com/m/it_happened_one_night";"97"
"2";"Modern Times (1936)";" 98%";"https://www.rottentomatoes.com/m/modern_times";"108"
"3";"Black Panther (2018)";" 96%";"https://www.rottentomatoes.com/m/black_panther_2018";"525"
"4";"Citizen Kane (1941)";" 99%";"https://www.rottentomatoes.com/m/citizen_kane";"117"
"5";"The Wizard of Oz (1939)";" 99%";"https://www.rottentomatoes.com/m/the_wizard_of_oz_1939";"145"
"6";"Parasite (Gisaengchung) (2019)";" 98%";"https://www.rottentomatoes.com/m/parasite_2019";"459"
"7";"Avengers: Endgame (2019)";" 94%";"https://www.rottentomatoes.com/m/avengers_endgame";"544"
"8";"Casablanca (1942)";" 99%";"https://www.rottentomatoes.com/m/1003707-casablanca";"123"
"9";"Knives Out (2019)";" 97%";"https://www.rottentomatoes.com/m/knives_out";"464"
"10";"Us (2019)";" 93%";"https://www.rottentomatoes.com/m/us_2019";"551"
"11";"Toy Story 4 (2019)";" 97%";"https://www.rottentomatoes.com/m/toy_story_4";"451"
"12";"Lady Bird (2017)";" 99%";"https://www.rottentomatoes.com/m/lady_bird";"398"
"13";"Mission: Impossible - Fallout (2018)";" 97%";"https://www.rottentomatoes.com/m/mission_impossible_fallout";"435"
"14";"BlacKkKlansman (2018)";" 96%";"https://www.rottentomatoes.com/m/blackkklansman";"445"
"15";"Get Out (2017)";" 98%";"https://www.rottentomatoes.com/m/get_out";"397"
"16";"The Irishman (2019)";" 95%";"https://www.rottentomatoes.com/m/the_irishman";"452"
"17";"The Godfather (1972)";" 97%";"https://www.rottentomatoes.com/m/godfather";"132"
"18";"All About Eve (1950)";" 99%";"https://www.rottentomatoes.com/m/1000626-all_about_eve";"102"
"19";"Spider-Man: Into the Spider-Verse (2018)";" 97%";"https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse";"391"
"20";"Mad Max: Fury Road (2015)";" 97%";"https://www.rottentomatoes.com/m/mad_max_fury_road";"427"
